xID,yID,Div,Size0,Size4,Size12
3661,98,0,657,799,764
3668,1454,0,710,1095,1193
77,1523,0,790,1254,1399
77,480,0,725,1186,1491
77,1685,0,864,1119,1371
146,2073,0,594,965,1135
150,385,2,578,858,-1
187,730,0,545,827,956
238,1706,0,553,813,1030
266,681,0,651,1095,1269
273,1979,0,482,704,872
331,677,0,690,1194,1419
334,866,0,398,600,846
345,584,0,502,822,1100
356,2003,0,383,620,698
361,1831,0,520,770,1005
366,2088,0,448,800,948
386,885,0,515,771,1014
411,1551,0,395,763,889
415,1991,0,649,1057,1208
420,2052,0,617,1007,1188
446,451,2,609,782,-1
475,1023,0,659,1231,1535
535,521,0,606,1001,1199
541,573,0,455,709,912
608,739,0,420,721,892
613,784,0,530,767,1070
667,367,0,681,962,1247
694,1615,0,705,968,1096
702,456,0,449,659,887
724,1455,0,648,1015,1185
743,1290,0,443,745,877
745,1711,0,643,927,1139
795,1891,0,538,794,961
821,600,0,777,1293,1504
812,1150,0,473,770,925
1031,1570,0,686,1041,1233
1047,404,0,468,791,961
1138,888,0,514,675,882
1163,1136,0,536,725,839
1197,1544,0,632,1016,1226
1239,1496,0,465,695,870
1251,1651,0,514,806,979
1311,169,0,490,719,973
1356,1440,0,426,762,840
1396,946,0,665,748,965
1437,1427,0,642,1096,1241
1450,1113,0,673,1022,1224
1462,1211,0,633,951,1093
1478,1581,0,731,1142,1337
1491,1645,0,620,1076,1194
1496,1008,0,715,1204,1351
1509,622,0,708,1098,1290
1626,1228,0,598,892,1056
1626,1697,0,491,742,899
1630,2038,0,495,673,867
1632,1789,0,397,500,626
1641,915,0,559,924,1072
1654,1564,0,578,737,856
1720,1608,0,637,860,983
1729,858,0,446,626,715
1843,1893,0,680,1111,1163
1863,1344,0,557,761,886
1911,1596,0,525,696,806
1968,754,0,470,654,805
1993,1027,0,657,1058,1221
2012,77,0,642,1003,1234
2116,942,0,529,823,974
2184,180,0,800,1310,1478
2203,929,0,442,628,754
2227,821,0,684,1108,1268
2240,1076,0,483,590,717
2268,110,1,396,626,-1
2294,629,0,617,892,1065
2302,240,0,367,428,593
2365,1401,0,490,626,731
2399,1843,0,570,797,898
2403,1152,0,594,909,1025
2474,1234,0,396,589,661
2475,873,0,472,582,712
2491,129,0,603,945,1123
2499,463,0,707,1148,1290
2502,1288,0,658,1127,1211
2593,86,0,975,1534,1671
2622,918,0,556,772,879
2636,429,0,628,944,1043
2671,1710,0,495,737,822
2690,607,0,495,669,736
2720,1318,0,633,821,998
2880,873,0,812,726,894
2982,1144,0,619,788,924
3018,729,0,541,728,873
3045,2078,0,604,835,874
3056,314,0,783,1187,1252
3076,478,0,625,881,996
3112,1482,0,630,961,1099
3194,1213,0,666,876,931
3230,1679,0,523,575,641
3271,1626,0,706,964,1074
3268,1552,0,526,420,420
3317,1386,0,457,642,724
3362,558,0,661,1040,1133
3371,1746,0,761,1057,1127
3393,311,0,590,840,977
3395,655,0,498,636,791
3415,376,0,684,988,1119
3483,1165,0,646,969,1050
3500,774,0,477,744,891
3512,1504,0,716,901,991
3527,223,0,726,960,1097
3562,100,0,507,741,914
3585,1806,0,520,709,824
3621,1263,0,674,962,1113
84,1449,0,903,1463,1461
156,904,0,600,1001,903
166,1779,0,765,1374,1443
178,1079,0,520,710,708
224,1234,0,730,1158,1223
231,1093,0,774,1121,1233
265,2741,0,750,1253,1281
319,2897,0,613,975,966
412,2199,0,479,706,730
450,835,0,537,829,855
456,1432,0,580,1018,990
478,737,0,769,1166,1271
503,1160,0,495,898,911
507,1555,0,588,984,1074
528,1732,0,774,1249,1295
590,713,0,608,1034,1019
602,477,1,1236,1713,-1
617,1361,0,526,847,871
643,98,0,646,1018,981
637,153,0,689,1198,1195
647,1507,0,512,800,876
657,77,0,622,1018,949
667,502,0,556,646,1061
762,3054,2,1183,1887,-1
789,2885,0,543,882,931
797,2058,0,514,801,854
811,1413,0,683,1061,1091
856,751,0,594,971,959
883,833,0,624,901,907
902,1128,0,458,699,804
988,2933,0,705,1162,1272
996,1044,0,589,1090,1168
1038,1791,0,490,762,749
1042,2965,0,409,700,736
1042,1444,0,473,717,730
1050,298,0,560,916,907
1112,1357,0,597,986,1008
1139,2159,0,546,852,933
1146,1307,0,576,860,865
1163,2865,0,777,1256,1358
1162,2767,0,440,745,730
1186,1093,0,449,721,721
1198,1702,0,639,947,987
1219,464,0,629,1035,1069
1232,2817,0,724,1059,1129
1328,3078,0,739,1153,1267
1361,3007,0,695,1318,1393
1361,2792,0,650,955,1059
1375,1530,0,561,897,1011
1392,1581,0,510,707,701
1395,532,0,525,857,921
1395,2445,0,638,996,1088
1405,1446,0,469,783,840
1418,1253,0,546,915,1013
1420,2674,0,668,1073,1178
1467,2661,0,518,792,794
1470,1993,0,519,733,791
1525,1134,0,451,744,788
1530,192,0,931,1602,1650
1565,832,0,507,929,939
1577,1830,0,393,617,629
1598,1144,0,631,1087,1226
1599,2216,0,493,840,922
1605,318,0,551,908,964
1609,175,0,552,934,915
1620,1083,0,911,706,559
1614,637,0,689,1112,1195
1624,2846,0,654,956,1086
1678,2738,0,723,1176,1311
1694,316,0,458,783,774
1697,2295,0,559,862,925
1708,1832,0,553,847,994
1710,918,0,497,747,730
1747,264,0,590,983,991
1752,3014,0,649,1074,1135
1769,117,0,912,1375,1357
1760,2061,0,488,713,729
1805,984,0,540,817,915
1841,588,0,666,1073,1102
1865,1399,0,640,1055,1089
1869,525,0,588,898,883
1911,2653,1,1127,1685,-1
1935,123,0,589,1032,1094
1942,1905,0,444,748,795
1958,1034,0,683,1089,1147
1967,1604,0,632,995,1143
1973,1431,0,462,703,821
1973,363,0,729,1278,1286
2016,1393,0,532,869,936
2018,593,0,690,1088,1212
2016,1955,0,410,650,741
2022,1705,0,592,849,904
2029,2333,0,624,805,876
2061,944,0,565,903,996
2063,311,0,651,1094,1125
2069,855,0,542,894,957
2123,151,0,512,810,828
2137,77,0,623,1049,1116
2153,1380,0,525,789,906
2167,1800,0,561,816,927
2170,277,0,668,947,982
2195,109,0,501,836,814
2201,1196,0,599,1005,1016
2205,781,0,531,787,795
2203,1840,0,661,966,1115
2216,1355,0,507,804,851
2225,2575,0,617,905,949
2245,801,0,569,834,886
2253,105,0,623,1027,971
2272,2867,0,544,894,1011
2295,1184,0,579,978,1063
2293,1353,0,396,580,612
2300,2608,0,646,959,980
2311,173,0,736,1108,1146
2328,2055,0,592,930,963
2350,3045,0,525,814,899
2395,1435,0,504,671,824
2400,1291,0,583,857,879
2412,1995,0,471,662,722
2427,2185,0,581,853,899
2433,1487,0,617,868,938
2451,2762,0,738,1149,1246
2472,1371,0,503,783,788
2479,663,0,697,1165,1276
2515,1845,0,608,933,1053
2517,2438,0,563,797,934
2540,2368,0,453,686,800
2542,238,0,509,826,890
2560,2687,0,587,885,950
2565,77,0,626,1005,1123
2573,873,0,458,740,755
2572,934,0,506,817,842
2612,275,0,618,965,1019
2608,2481,0,504,669,758
2621,1395,0,843,1276,1409
2624,1283,0,529,818,855
2649,2650,0,921,1421,1457
2661,2723,0,653,1072,1172
2656,813,0,467,748,789
2687,877,0,700,1121,1280
2717,2247,0,574,929,1026
2731,1940,0,644,1119,1193
2728,1657,0,491,814,884
2754,2284,0,775,1265,1459
2779,1809,0,556,879,912
2781,3069,0,645,961,1091
2890,2529,0,494,722,825
2909,2886,2,1030,1733,-1
2918,1804,0,554,825,927
2936,1934,1,1226,1855,-1
2942,701,0,530,818,963
2955,955,0,496,711,831
2966,1316,0,704,1129,1221
2985,2116,0,587,785,884
2990,3064,0,399,698,764
3006,108,0,621,1007,1077
3016,644,0,497,829,931
3048,3071,0,737,1122,1202
3060,2112,0,489,843,957
3063,909,0,712,1056,1077
3108,573,0,864,899,1123
3117,3079,0,489,739,847
3127,239,0,437,729,915
3132,2159,0,507,768,840
3139,1987,0,618,938,993
3139,1937,0,553,873,1013
3172,363,0,673,971,1053
3184,535,0,745,1070,1313
3185,2222,0,414,710,739
3209,2382,0,696,915,1009
3258,1299,1,1164,1697,-1
3257,2824,0,634,956,1025
3299,387,0,635,899,966
3301,1642,0,541,833,928
3331,601,0,524,737,802
3336,157,0,552,789,891
3336,2879,0,645,944,1038
3370,3080,0,608,859,962
3400,1965,0,600,895,1025
3406,3007,0,537,756,842
3466,2775,0,530,677,756
3482,1874,0,655,1053,1230
3516,1718,0,551,818,906
3551,77,0,489,697,746
3585,2618,0,642,878,945
3592,2973,0,829,1271,1431
3595,653,0,481,669,717
3612,2479,0,631,903,1186
3640,860,0,588,897,986
3643,2801,0,686,1082,1207
3679,1736,0,595,830,963
3684,2190,0,603,915,1020
3686,768,0,554,886,983
3695,210,0,690,1007,1065
3693,3005,0,573,816,881
3694,1870,0,553,805,851
3718,2343,0,845,1362,1423
3739,2670,0,644,989,1087
3741,2041,0,560,814,922
3746,886,0,557,697,791
3752,2835,0,657,1049,1108
3752,2450,0,579,844,960
3753,1793,0,639,908,975
3762,3062,0,785,1251,1387
3794,1893,0,629,967,1071
3815,296,0,598,874,924
3818,2038,0,652,911,1017
3828,2301,0,706,1063,1185
3830,2366,0,723,1042,1115
3837,2193,0,833,1266,1358
3841,2774,0,559,818,913
3855,648,0,440,669,749
3861,693,0,633,1043,1121
3875,2890,0,781,1047,1244
3900,77,0,743,1042,1104
3910,1740,0,721,1050,1220
3911,657,0,616,953,1011
3910,77,0,743,1042,1104
3914,2938,0,551,797,874
3932,1130,0,795,1026,1169
3944,1935,0,885,1300,1495
3948,2892,0,572,729,822
3975,1763,0,688,1071,1117
3987,393,0,640,921,990
3989,2617,0,680,1037,1236
3986,788,0,499,714,777
3996,2191,0,653,1050,1186
4006,629,0,591,782,885
4016,1430,0,718,924,1078
4037,1365,0,681,1010,1172
4043,805,0,712,1040,1137
4055,2497,0,631,950,1027
4096,242,0,818,1244,1337
4103,349,0,808,1186,1267
4103,558,0,550,824,921
4112,1493,0,677,1277,1403
4112,2991,0,553,871,929
4139,1938,0,554,833,848
4143,1799,0,592,947,1051
4203,1717,0,761,1190,1310
4235,2493,0,683,988,1143
4249,2832,0,661,975,1197
4252,250,0,640,911,995
4259,1076,0,594,808,951
4258,1650,0,538,803,853
4262,2136,0,683,1071,1125
4264,2937,0,779,1026,1198
4267,2748,1,1256,1843,-1
4269,445,0,684,922,1005
77,2400,0,750,1240,1218
77,2679,0,678,1063,1163
77,1248,0,763,1221,1290
77,1045,0,559,770,780
77,2137,0,533,846,1001
140,949,0,989,1550,1692
190,2956,0,620,989,1173
234,2923,0,572,931,1103
274,1371,0,566,945,1023
298,1510,0,637,1045,1085
302,2535,0,815,1346,1528
384,219,0,634,1101,1202
394,2921,0,725,1154,1278
407,1642,0,1049,1639,1708
404,1201,0,715,1074,1173
416,962,0,591,862,1003
457,211,0,389,546,623
461,2577,0,554,799,874
491,151,0,772,1271,1433
486,848,0,492,756,852
496,77,0,552,951,1052
499,1820,0,626,978,1173
499,2320,0,688,1131,1245
503,1402,0,426,610,655
514,1318,0,532,925,1019
529,2111,0,538,774,917
