xID,yID,Div,Size0,Size4,Size24
878,546,0,648,987,1058
661,477,0,584,733,837
470,556,0,519,755,782
368,429,0,541,760,879
403,934,0,617,824,924
368,843,0,763,900,1049
204,1066,2,801,1307,-1
705,1130,2,724,1145,-1
972,1034,0,435,577,663
847,944,0,511,778,901
1593,1098,1,575,776,-1
1083,1374,2,697,1110,-1
1487,1226,0,658,1074,1114
874,1523,0,645,941,1034
1336,1741,2,665,1145,-1
692,1858,2,720,1165,-1
941,1895,0,467,739,838
745,1396,0,468,710,799
261,1597,0,508,680,792
221,1321,0,547,874,961
137,1396,0,544,821,974
1829,1454,0,509,669,718
1980,960,1,668,829,-1
954,2357,2,684,1115,-1
1749,392,0,659,848,950
1656,328,1,662,891,-1
1394,461,0,522,780,843
1154,275,0,657,1040,1106
1283,955,0,454,689,811
1185,859,0,384,510,532
1762,1098,0,497,738,832
1101,445,0,622,826,918
1815,2022,0,437,650,754
1886,1820,0,443,647,751
1562,1709,0,561,795,909
1553,1794,0,530,837,951
1562,1916,0,472,678,785
692,1613,2,714,1220,-1
803,1921,2,639,1033,-1
186,1746,2,789,1252,-1
1904,519,2,646,1034,-1
674,2208,2,704,1097,-1
1580,2458,0,511,860,858
1176,1114,0,426,652,763
1842,163,0,439,638,731
2060,402,0,552,782,873
1931,2160,0,360,522,585
1886,2113,1,602,930,-1
1229,1358,0,522,768,890
1180,1231,0,522,780,829
2073,89,0,475,559,670
625,1396,2,710,1156,-1
77,2010,0,652,1140,1350
111,559,0,725,1083,1499
112,1304,0,717,1008,1124
130,1087,2,873,1337,-1
144,2015,0,616,1022,1298
163,2593,0,478,830,965
201,1803,0,343,485,692
213,359,1,668,995,-1
228,245,0,629,1044,1393
247,1071,0,530,889,1144
254,1351,0,714,1149,1271
288,2019,0,447,722,930
309,579,0,576,919,1353
316,1809,0,557,894,1144
327,2551,0,632,1054,1185
384,1525,0,590,943,1096
396,1131,0,523,864,1047
420,596,0,611,1184,1408
452,1437,0,434,806,936
482,1109,2,734,1314,-1
480,371,0,447,834,1148
508,77,0,727,1063,1389
512,1511,0,608,949,1176
515,181,0,517,841,1160
564,1703,0,519,694,874
636,2148,0,466,782,870
643,344,0,591,880,1071
688,693,0,486,785,977
772,208,0,620,853,1295
797,1538,0,354,586,763
823,2333,1,611,994,-1
826,884,0,369,636,826
849,1138,0,506,860,958
848,88,0,579,833,1106
889,1179,0,512,816,1017
900,2075,0,477,848,1015
923,2602,0,529,934,1037
938,1660,0,540,920,1012
960,2287,0,407,717,830
964,1406,0,415,618,786
970,462,0,462,777,894
1057,541,0,563,951,1177
1061,250,0,558,870,1074
1067,2563,0,437,711,918
1068,319,0,470,767,925
1169,1258,0,608,1010,1163
1166,651,0,498,685,948
1170,201,0,547,778,1000
1218,873,0,446,597,802
1227,2317,0,450,713,833
1232,650,0,507,688,966
1263,154,2,804,1269,-1
1282,1834,0,421,630,781
1316,1970,0,480,844,979
1326,2407,1,575,1018,-1
1342,2611,0,474,759,924
1360,1447,0,563,900,1097
1361,2337,0,403,584,730
1370,1592,2,710,1104,-1
1423,94,1,813,1223,-1
1449,2456,0,534,892,978
1464,1927,0,831,1039,1252
1502,2547,1,627,1025,-1
1523,1710,0,485,634,784
1528,113,0,557,893,1191
1538,2419,0,543,869,977
1541,1497,0,420,717,835
1544,532,0,512,955,1069
1560,1781,0,400,621,787
1562,725,0,474,756,1025
1597,1886,0,500,829,946
1613,1296,0,490,775,986
1617,2048,0,542,867,929
1623,767,0,546,855,1009
1683,1286,0,696,1092,1204
1709,855,0,482,825,1005
1760,2150,0,431,598,750
1787,1718,0,577,947,1051
1797,1355,0,394,575,725
1839,1025,0,413,680,842
1849,1532,0,502,784,932
1853,2182,0,512,856,950
1861,116,0,574,876,1089
1884,1576,1,474,801,-1
1897,1402,0,417,713,843
1916,1038,1,620,1036,-1
1920,1454,0,402,624,643
1921,2098,0,421,593,644
1960,349,0,544,739,961
1986,2324,0,446,740,810
2003,1144,0,481,821,998
2069,2274,0,511,886,1004
2102,2431,0,417,636,698
2103,1007,0,532,894,1038
2115,1429,0,436,674,734
2160,635,0,537,841,983
2166,2480,2,783,1173,-1
2181,2562,0,568,907,1009
2197,2024,0,487,706,837
2210,1790,0,372,587,756
2216,812,2,561,969,-1
2222,1536,0,568,963,1054
2226,1844,0,445,708,862
2254,2064,0,393,602,659
2268,2604,0,419,541,678
2280,361,0,549,838,994
2300,1255,0,629,967,1162
2322,1332,0,456,676,796
2343,2304,0,541,895,975
2362,565,0,547,792,1007
2362,424,0,491,778,926
2385,1996,0,595,907,987
2390,2115,0,403,642,722
2432,2035,0,518,864,954
2465,2153,0,474,670,780
2490,930,2,628,1019,-1
2495,2429,0,645,1095,1103
2490,1228,0,361,495,640
2524,1270,0,410,564,688
2534,1311,0,437,585,714
2567,2520,0,494,836,1013
2571,215,0,635,1001,1165
2591,901,0,453,665,822
2616,1165,0,540,848,1029
