xID,yID,Div,Size0,Size4,Size30
807,739,2,945,1436,-1
814,547,0,689,894,1025
849,2164,2,568,847,-1
856,2344,0,468,644,829
915,706,2,652,1002,-1
951,1898,0,463,616,700
972,1256,2,491,811,-1
980,1397,1,603,775,-1
1014,2584,0,475,654,667
1036,290,0,460,554,647
1076,2604,0,506,712,866
1094,2118,0,399,480,547
1105,2019,2,569,1009,-1
1134,2485,0,455,661,813
1139,1409,0,422,670,813
1147,1461,1,451,633,-1
1163,695,1,452,671,-1
1163,1775,0,362,442,619
1225,463,0,414,693,747
1232,2798,0,493,622,731
1241,2221,0,468,607,804
1262,1428,0,466,561,770
1258,1237,0,364,555,691
1298,1155,0,443,575,751
1305,411,0,428,695,797
1364,2095,2,535,913,-1
1382,2827,2,642,932,-1
1398,653,2,522,876,-1
1398,1747,1,514,784,-1
1406,2879,2,666,940,-1
1413,1051,0,538,819,903
1435,1674,0,454,673,756
1457,2059,0,569,778,868
1496,857,0,350,574,675
1537,1137,2,624,1035,-1
1580,2544,0,420,603,757
1617,2837,0,401,478,660
1626,1007,2,686,1173,-1
1636,942,0,458,707,777
1632,2237,0,425,620,819
1654,2437,0,445,645,844
1664,1244,0,413,549,635
1664,2863,1,486,701,-1
1710,260,0,397,555,672
1723,2292,0,375,488,544
1727,2096,0,384,546,585
1733,2552,0,435,571,648
1753,770,0,324,444,580
1764,2694,2,533,820,-1
1763,2386,0,555,729,837
1810,2828,0,532,778,834
1813,691,1,454,633,-1
1830,1816,0,293,473,651
1846,2624,0,448,631,751
1875,892,0,417,604,705
1876,1215,0,380,589,720
1895,382,0,395,541,612
1930,585,0,525,562,724
1938,1165,0,467,707,853
1992,2281,1,660,876,-1
2048,2834,0,395,584,707
2057,1194,1,445,684,-1
2080,1610,0,507,709,787
2126,699,0,525,710,807
2132,385,0,391,524,576
2156,823,0,363,412,469
2177,375,2,545,786,-1
2194,2517,0,339,479,615
2218,2253,2,662,955,-1
2227,1477,2,626,1010,-1
2225,187,0,455,656,800
2229,761,0,386,485,685
2247,2825,0,462,606,782
2257,1560,0,417,538,608
2269,595,0,357,551,715
2274,2601,2,556,884,-1
2277,806,1,491,760,-1
2337,77,2,552,849,-1
2342,130,2,581,923,-1
2347,1540,1,559,809,-1
2389,743,0,538,902,1011
2392,2456,1,498,843,-1
2401,940,0,384,536,691
2405,340,0,434,683,872
2417,1515,0,399,573,661
2489,865,1,484,752,-1
2501,983,0,342,483,557
2534,553,2,596,1040,-1
2552,77,2,591,863,-1
2585,2625,0,478,687,798
2606,2684,2,541,797,-1
2611,1070,0,381,520,613
2613,2244,0,458,726,877
2635,242,2,534,827,-1
2640,765,0,401,524,628
2682,2333,0,450,684,862
2751,232,0,512,817,974
