xID,yID,Div,Size0,Size4,Size18
88,1168,0,681,1046,945
152,364,0,793,1320,1155
189,1431,0,699,1097,1042
226,2054,0,864,1079,999
274,687,0,688,1107,957
312,740,0,521,898,831
324,168,0,743,1203,1005
331,1235,0,670,1048,964
347,1660,0,684,1045,948
366,775,1,828,1342,-1
403,642,0,711,1089,1015
429,445,2,1135,1730,-1
426,1089,0,599,846,686
449,2234,0,598,937,840
465,663,0,627,941,894
477,550,0,650,993,827
486,818,0,559,736,659
488,1326,0,489,806,752
510,1660,2,698,1206,-1
514,890,0,566,685,666
532,2085,0,607,1116,1108
529,1420,0,488,750,703
559,652,0,731,1150,1046
566,1611,0,638,1074,1188
601,855,0,608,1128,1008
621,929,0,405,408,321
619,2318,0,597,877,841
635,159,2,828,1439,-1
641,1262,0,639,1037,939
673,541,0,614,1031,908
677,938,0,602,1133,1060
675,680,0,519,912,846
687,1884,0,702,956,897
693,1789,0,545,863,849
698,2173,0,734,1074,1094
748,1908,0,830,1207,1223
765,1392,0,452,504,524
793,1683,0,665,961,979
856,2243,0,462,809,846
856,1782,0,585,839,774
883,2110,0,454,601,574
886,1955,0,665,916,853
915,1197,0,556,895,829
924,399,0,617,1074,933
928,587,0,658,1170,1104
946,2050,0,727,1036,1167
970,1096,0,565,586,567
979,1802,0,688,1032,1023
978,77,0,600,1018,804
985,811,0,411,812,699
988,687,0,425,720,603
995,1969,0,658,1081,1044
1011,1232,0,448,632,624
1040,2238,0,566,853,838
1054,1249,0,536,884,832
1066,2079,0,586,894,888
1068,2004,0,401,612,584
1083,978,0,418,498,410
1133,1791,0,777,1112,1061
1139,926,0,419,686,662
1159,1342,0,563,784,757
1184,192,2,744,1274,-1
1202,1320,0,462,686,623
1220,1739,0,544,803,773
1235,1059,0,557,995,926
1243,2034,0,552,910,865
1286,705,0,453,823,707
1288,1729,0,462,708,737
1296,462,0,484,829,773
1297,2167,0,691,1057,1056
1307,947,2,622,1076,-1
1327,1682,0,482,722,726
1339,1067,1,558,947,-1
1339,742,0,442,751,760
1364,246,0,577,817,637
1361,77,0,402,658,550
1385,592,0,479,803,737
1399,789,0,506,945,936
1398,1530,0,452,778,793
1411,926,0,482,845,857
1437,1279,0,469,806,800
1453,1094,2,637,1170,-1
1455,967,0,550,841,843
1454,2093,0,476,758,762
1468,2414,0,564,779,697
1493,1638,0,605,943,965
1500,1491,0,551,834,814
1502,1098,0,596,949,863
1509,889,0,618,993,998
1531,1356,0,544,830,814
1532,558,2,647,1213,-1
1575,1991,1,587,990,-1
1592,1531,0,507,706,759
1601,1857,0,453,639,677
1614,2375,0,617,892,925
1625,1742,0,468,736,759
1640,1379,0,487,694,708
1674,328,0,572,908,959
1676,1747,0,506,815,858
1675,518,0,438,698,624
1692,249,2,695,1200,-1
1688,441,0,539,994,968
1689,1645,0,428,675,640
1695,2337,1,628,924,-1
1699,1581,0,600,1002,969
1729,88,0,480,780,646
1734,671,0,514,884,904
1737,2376,0,443,668,692
1741,1767,0,534,797,817
1756,511,0,447,813,791
1776,2045,0,567,1024,985
1781,1725,0,454,760,755
1792,1991,0,522,786,766
1792,1584,0,511,786,846
1814,2134,0,531,961,963
1890,1564,0,589,914,954
1887,1898,0,476,708,719
1890,231,0,433,809,769
1923,1131,0,411,682,691
1950,2076,0,521,812,784
1969,1201,0,412,702,687
2011,1283,0,425,734,734
2009,1339,0,456,786,803
2020,636,0,339,708,782
2022,464,0,418,800,795
2035,1058,0,565,1042,1098
2050,77,0,584,1065,1057
2055,2254,0,537,867,939
2079,149,0,532,926,909
2108,420,0,469,807,841
2109,1440,0,339,642,663
2117,2355,0,526,803,837
2129,722,0,423,862,1013
2155,1559,0,446,799,808
2159,1030,0,554,977,969
2160,1687,0,586,916,925
2171,140,0,586,1111,1098
2168,916,0,387,709,663
2177,1807,0,488,872,927
2178,1853,0,540,844,907
2184,2075,0,622,1053,1079
2189,1260,1,609,1061,-1
2219,1938,0,622,935,995
2226,713,0,404,716,727
2274,938,0,559,937,1008
2308,710,0,506,822,785
2317,587,0,489,998,923
2323,975,0,369,652,676
2333,1621,0,416,729,720
2353,1339,0,349,587,577
2378,343,0,466,769,762
2377,1104,0,448,773,833
2431,2047,0,438,718,787
2466,2303,0,411,737,695
2466,738,0,505,904,911
2478,1707,0,335,601,596
2481,1273,0,416,738,737
2498,1766,0,422,731,774
2503,374,0,416,672,679
2508,1583,0,489,803,897
2538,2405,0,515,847,946
2546,912,0,522,849,864
2567,1378,0,507,820,819
2575,77,2,664,1197,-1
2579,1250,0,445,840,790
2584,1674,0,543,912,988
183,697,0,1063,865,928
198,100,2,888,1118,-1
235,1812,2,991,1138,-1
256,1986,2,1166,1188,-1
275,844,0,778,694,746
280,2113,0,743,674,756
284,1130,0,584,595,683
101,1546,0,635,880,908
113,1624,0,758,931,893
121,782,0,689,849,846
152,389,0,851,1100,1141
180,2001,1,861,1149,-1
214,1304,0,717,1032,979
223,1766,2,822,1206,-1
234,1263,0,650,910,845
246,2505,1,478,896,-1
268,1797,0,530,701,721
285,1845,0,658,885,938
328,77,0,778,1068,1039
338,2628,0,793,1079,1008
357,1211,0,616,842,864
364,2687,0,685,869,865
365,899,0,693,1024,967
368,2088,0,556,668,655
386,2237,0,593,735,711
392,1638,0,742,980,1012
410,1682,0,567,719,765
422,957,0,723,946,932
425,1791,0,754,1075,1051
434,1121,0,534,638,667
468,943,0,754,1005,1043
481,553,0,663,820,904
487,1660,0,624,870,843
491,707,0,605,736,793
508,1945,0,679,951,969
545,824,0,506,728,817
557,449,0,726,1029,1120
600,127,0,590,929,966
602,1050,0,525,759,841
606,2218,1,789,1167,-1
606,2686,0,760,1131,1130
664,2422,2,1067,1504,-1
688,1298,0,638,930,968
687,212,0,519,684,702
693,960,0,590,757,808
758,485,2,893,1390,-1
754,1333,0,318,540,565
775,2261,0,419,505,488
787,2196,1,798,1172,-1
802,2011,1,788,1165,-1
815,1491,0,558,862,854
822,911,0,492,545,580
823,2590,0,626,962,943
827,1945,0,483,672,666
830,2167,0,644,849,869
844,1548,0,651,949,1026
840,1774,0,467,630,661
875,2306,0,560,767,775
879,1519,0,459,738,738
896,946,0,764,1042,1104
919,2354,0,543,625,650
926,1694,0,493,803,819
987,2456,0,684,981,1014
987,617,0,598,807,857
997,136,0,461,669,683
1016,1466,0,447,625,681
1020,446,0,361,649,746
1109,2181,1,692,1097,-1
1123,1270,0,555,771,762
1139,959,0,420,397,385
1178,259,0,582,928,1035
