context,fold,treatment,source_lines,effective_source_lines,candidate_risk_score,disagreement_risk_score,treatment_risk_risk_score,magnitude_risk_score,mean_mse,zero_mse,ridge_descriptive_mse
CVCL_0131,0,"[('4EGI-1', 0.05, 'uM')]",40,21.78950596913619,0.0005770268943331176,0.0007388607858606055,0.0007578059342160057,8.740858039260812e-05,0.0005056584986394282,0.0006626074428460253,0.0004321929245194481
CVCL_0131,0,"[('9-ING-41', 0.05, 'uM')]",40,21.78950596913619,0.000610087707894166,0.0010291597824828131,0.0010555484948541673,0.0001119507442466316,0.0004976922192945523,0.0006485851440413302,0.0004164077642358949
CVCL_0131,0,"[('APTO-253', 0.05, 'uM')]",40,21.78950596913619,0.00043667816308269635,0.0006139420835750434,0.0006296841882820956,0.00013372228843355226,0.00028176016007363614,0.0004501034486669894,0.0002398467162099742
CVCL_0131,0,"[('AT7519', 0.05, 'uM')]",40,21.78950596913619,0.000443823796053209,0.0005448186590802604,0.0005587883682874465,0.00010346661195036811,0.0003160865563717022,0.0004605683488862989,0.00026302547715029606
CVCL_0131,0,"[('AZD-7648', 0.05, 'uM')]",40,21.78950596913619,0.00045995534764524317,0.000727895800566569,0.0007465597954528912,0.00013342593330896272,0.00032460421325847055,0.00048069968887084287,0.00028009091757413856
CVCL_0131,0,"[('AZD-8055', 0.05, 'uM')]",40,21.78950596913619,0.0006196228739025752,0.0007541221426978874,0.0007734586078952693,0.00013894846013001356,0.0005131873216014762,0.000664872745183689,0.0004228306228846032
CVCL_0131,0,"[('AZD1390', 0.05, 'uM')]",40,21.78950596913619,0.00044560714419704465,0.000611004521289883,0.0006266713038870594,0.00010469018079329012,0.00039820064016172894,0.0005526811929117572,0.00036581080557593614
CVCL_0131,0,"[('AZD2858', 0.05, 'uM')]",40,21.78950596913619,0.0005675397299969158,0.0006321088707110693,0.0006483167904728916,0.0001104217352242047,0.0003830647041449931,0.000550283820091884,0.00032219843489104055
CVCL_0131,0,"[('Adagrasib', 0.05, 'uM')]",40,21.78950596913619,0.0004996145284798962,0.0005771121000121438,0.0005919098461663009,5.6654676021617134e-05,0.0001660717623575933,0.00019800720628842915,0.00015279699697637238
CVCL_0131,0,"[('Afatinib', 0.05, 'uM')]",40,21.78950596913619,0.0006612851021544585,0.0007887998169404113,0.000809025453272217,0.00010380008407866692,0.00056080767514501,0.0006909382111879469,0.00046596197963892904
CVCL_0131,0,"[('Alpelisib', 0.05, 'uM')]",40,21.78950596913619,0.000531725957772551,0.000745232211203761,0.000764340729439755,0.00011667239697718315,0.00049328685694406,0.0006581814534974555,0.0004073620151732054
CVCL_0131,0,"[('Anastrozole', 0.05, 'uM')]",40,21.78950596913619,0.0004337345038467752,0.0006523201305562693,0.0006690462877500197,0.00011496451736446393,0.0003069682497101387,0.00046118786315954433,0.0002620992950372356
CVCL_0131,0,"[('BAY1125976', 0.05, 'uM')]",40,21.78950596913619,0.0005468307137829019,0.00067470957243586,0.0006920098178829333,0.00010781052818019024,0.0005274885785766716,0.0006970600663589887,0.0004499313566847534
CVCL_0131,0,"[('BI-3406', 0.05, 'uM')]",40,21.78950596913619,0.0006219561171135029,0.0007811835038441691,0.0008012138500965835,0.00011648903355920095,0.0005406562050678625,0.0006719316238770208,0.00044930025367408686
CVCL_0131,0,"[('BI-78D3', 0.05, 'uM')]",40,21.78950596913619,0.0005672324850372164,0.0007219976104865885,0.0007405103697298342,0.00011093853934656382,0.0004148734530210687,0.0005934749136497996,0.00035575976911203153
CVCL_0131,0,"[('Belumosudil (mesylate)', 0.05, 'uM')]",40,21.78950596913619,0.0008081719444415099,0.0008210081104070088,0.0008420596004174443,0.00012360647338437774,0.0010737747383342418,0.0013422583561190848,0.0009263533199065982
CVCL_0131,0,"[('Belzutifan', 0.05, 'uM')]",38,20.65041155594128,0.003591649863144886,0.0037611477599046143,0.0038628004020641975,0.0001819597266408738,0.0024476739850517256,0.002487348055515591,0.0024747394095929066
CVCL_0131,0,"[('Bentamapimod', 0.05, 'uM')]",40,21.78950596913619,0.0006505966529374278,0.0008331990321455157,0.0008545631098928365,0.00014774276432447225,0.0006778951412883124,0.0008993651588291641,0.0005979104738151648
CVCL_0131,0,"[('Bimiralisib', 0.05, 'uM')]",40,21.78950596913619,0.000813684240100193,0.0008702735347491596,0.0008925882407683685,0.00018551151614127888,0.0006776499679423307,0.0008571702812965403,0.0005814781854496495
CVCL_0131,0,"[('Binimetinib', 0.05, 'uM')]",40,21.78950596913619,0.0012921981467417343,0.00128418348264177,0.0013171112642479685,0.0003341556974472362,0.0007654617441349398,0.0010435304691424794,0.0006310839107607155
CVCL_0131,0,"[('Bortezomib', 0.05, 'uM')]",40,21.78950596913619,0.003998533011373981,0.003829846277492991,0.003928047464095374,0.0019185777176907253,0.004369417486643916,0.007004008922096888,0.003884055110933609
CVCL_0131,0,"[('Brivudine', 0.05, 'uM')]",40,21.78950596913619,0.000538406232833472,0.0006971869385977038,0.0007150635267668755,0.00010025689410789517,0.000535713395826381,0.000716771594786282,0.0004747733031979951
CVCL_0131,0,"[('CP21R7', 0.05, 'uM')]",40,21.78950596913619,0.00047920205357654687,0.0006571438477860185,0.0006739936900369419,8.739340534077067e-05,0.0003075034997733971,0.0004120625540964435,0.00027629528505528284
CVCL_0131,0,"[('Capivasertib', 0.05, 'uM')]",40,21.78950596913619,0.0004756614766608756,0.0006380590656362215,0.0006544195544986884,9.698603106791527e-05,0.0004565683701038704,0.000593902172972725,0.0004141241560620701
CVCL_0131,0,"[('Capmatinib', 0.05, 'uM')]",40,21.78950596913619,0.000632168694884585,0.0008261651792788218,0.0008473489018244321,9.112261931676633e-05,0.0004761021932343005,0.0005776718483150034,0.00040764523391716444
CVCL_0131,0,"[('Celecoxib', 0.05, 'uM')]",40,21.78950596913619,0.0005195373726225638,0.0008238191536383252,0.0008449427216803331,0.00012357531853739777,0.0003894414596070881,0.0005339422240767817,0.00034221683748170123
CVCL_0131,0,"[('DT-061', 0.05, 'uM')]",40,21.78950596913619,0.0005558943810947102,0.0008664082487978874,0.0008886238449209098,0.00010328916990320361,0.00043388291618700074,0.0005967615322575777,0.00036172316047141414
CVCL_0131,0,"[('Dabrafenib', 0.05, 'uM')]",40,21.78950596913619,0.000599211857517273,0.0008363979238772279,0.0008578440244894645,0.00012226055128616286,0.00044144297673010473,0.0006115766921745683,0.0003927770655038271
CVCL_0131,0,"[('ERK5-IN-2', 0.05, 'uM')]",40,21.78950596913619,0.000542257280577597,0.0007156906538550634,0.0007340416962616032,0.0001372934785489105,0.0007266732865839975,0.0009446189859931848,0.0006608645996472843
CVCL_0131,0,"[('ETC-206', 0.05, 'uM')]",40,21.78950596913619,0.000398553285631256,0.0005114997332585796,0.0005246151110344406,8.438347537888577e-05,0.00030065180478418713,0.00042699644012325367,0.0002635016231968453
CVCL_0131,0,"[('EX229', 0.05, 'uM')]",40,21.78950596913619,0.0008923903951157086,0.0011968806502169831,0.001227569897658444,0.00020699653570243988,0.0009224428967803772,0.0012123072204766158,0.0007990435795238569
CVCL_0131,0,"[('Elimusertib hydrochloride', 0.05, 'uM')]",40,21.78950596913619,0.001508589732056839,0.0017240025352218806,0.0017682077284326973,0.00040393653359951026,0.0011217228330865842,0.0012997608340657178,0.0009773890170775988
CVCL_0131,0,"[('Encorafenib', 0.05, 'uM')]",40,21.78950596913619,0.0004981604242223738,0.0005951986323412642,0.0006104601357346297,0.00010695091107392255,0.0004720924946321404,0.000653613484347945,0.0004059166432688983
CVCL_0131,0,"[('Erdafitinib ', 0.05, 'uM')]",40,21.78950596913619,0.000507159705929574,0.0006312861826066775,0.0006474730078017204,0.00010056885492391598,0.0004239454488124981,0.0005994964725612953,0.00035246962425346603
CVCL_0131,0,"[('Everolimus', 0.05, 'uM')]",40,21.78950596913619,0.0005308642978084655,0.0006148716598814358,0.0006306375998783954,8.555540191604406e-05,0.000490193629846732,0.000642909871498447,0.0004180638307169719
CVCL_0131,0,"[('Futibatinib', 0.05, 'uM')]",40,21.78950596913619,0.0005283950988550496,0.000677911747110035,0.0006952940996000355,0.00016581829618709504,0.0004948997507630367,0.0007498487052055402,0.00044415807901206637
CVCL_0131,0,"[('GSK1059615', 0.05, 'uM')]",40,21.78950596913619,0.0006579284131760455,0.0007064932220470128,0.0007246084328687308,0.00013043739830738866,0.000567700715488394,0.0007575391010811299,0.0004870971357434208
CVCL_0131,0,"[('Gemcitabine', 0.05, 'uM')]",40,21.78950596913619,0.0005948798558631128,0.0006310574100026351,0.0006472383692334718,0.00012593130081900157,0.0005650215521555635,0.0007628523296412851,0.0005005869544953836
CVCL_0131,0,"[('HI-TOPK-032', 0.05, 'uM')]",40,21.78950596913619,0.0007213990617126006,0.0009730067025195668,0.0009979555923277602,0.00017011688465059393,0.0004502040812016554,0.0006564572137204567,0.0004059584563952614
CVCL_0131,0,"[('Hydroxyfasudil', 0.05, 'uM')]",37,21.133467409315198,0.004114501720852155,0.003122972901135944,0.0032097221483897197,0.00026713877612635995,0.001786743534898302,0.0020139700373057617,0.0017773669637773915
CVCL_0131,0,"[('IQ 1', 0.05, 'uM')]",40,21.78950596913619,0.0005227196908733479,0.0006159940210593405,0.0006317887395480413,0.00012524004937724552,0.0007042833919415182,0.0008973628368182255,0.0006534917285552897
